Question	Answer	Source
Hei, får jeg feriepenger av uføretrygd?	Du får ikke feriepenger av uføretrygd. Men du får utbetalt uføretrygd 12 måneder i året. Utbetalingen i juni er skattefri.	Kopi av spørsmål og svar - Copy.xlsx
Jeg har fått avslag fra NAV på uføretrygd og klagefristen er ute. Hva gjør jeg?	Klagefristen er seks uker, pluss tiden det tar med posten. Dersom du er helt sikker på at fristen er ute, så må du ha nye opplysninger som gjør at utfallet kan bli et annet. Det betyr at du må vise til for eksempel en ny legeerklæring som bekrefter at du har rett på uføretrygd.	Kopi av spørsmål og svar - Copy.xlsx
Min mann er på sykehjem og jeg lurer på om NAV kan betale for plassen?	Det er dere som må betale kommunen for plassen. Hvis dere har lite penger, så vil kommunen redusere prisen. Dere skal også sitte igjen med penger til å leve for. https://lovdata.no/dokument/SF/forskrift/1988-11-14-932	Kopi av spørsmål og svar - Copy.xlsx
Jeg har opplevd at saksbehandleren min på NAV er frekk og uhøflig. Kan jeg klage?	Du kan levere en serviceklage der du skriver om din opplevelse og hav du mener er dårlig håndtert av NAV. Her finner du skjemaet. https://www.nav.no/no/NAV+og+samfunn/Kontakt+NAV/Klage+ris+og+ros	Kopi av spørsmål og svar - Copy.xlsx
Hvor lenge kan jeg få arbeidsavklaringspenger?	I utgangspunktet kan man få arbeidsavklaringspenger opp til fire år. Hvor lenge man får arbeidsavklaringspenger avhenger av behovet for å være i arbeidsrettet aktivitet. I særlige tilfeller kan perioden forlenges utover fire år. Dette følger av ftrl § 11-10 første ledd. https://www.nav.no/rettskildene/Forside/Folketrygdloven/kapittel-8-sykepenger	Kopi av spørsmål og svar - Copy.xlsx
Jeg har fått arbeidsavklaringspenger i fire år og nå sier NAV nei. Hva gjør jeg?	Du må be om et møte med saksbehandleren din der du forklarer hvorfor du trenger arbeidsavklaringspenger i en lengre periode. Du bør også legge frem legeerklæring som bekrefter at du trenger arbeidsavklaringspenger utover fire år.	Kopi av spørsmål og svar - Copy.xlsx
Er det noen aldersgrense for støtte til transport?	Når det gjelder grunnstønad til transport, gis dette kun når vilkårene er oppfylt før fylte 70 år. Denne aldersgrensen gjelder kun for grunnstønad til transport og ikke de andre utgiftene det kan gis grunnstønad til.	Kopi av spørsmål og svar - Copy.xlsx
Hvordan søker jeg om etterlattepensjon?	Du søker på skjema for gjenlevendepensjon som du finner under «Skjema og søknad» på NAVs sider. \nSkjemaet inneholder en orientering og veiledning. Det er viktig at du leser dette før du fyller ut. På skjemaene finner du også informasjon om hvilke vedlegg / dokumentasjon du må legge ved søknaden. Ønsker du veiledning eller hjelp med utfyllingen, kan du kontakte NAV på telefonnummer 55 55 33 34. \n\nSøknadene sendes til NAV Familie- og pensjonsytelser, Postboks 6600 Etterstad, 0607 Oslo.\n	Kopi av spørsmål og svar - Copy.xlsx
Det står i brev fra NAV at jeg har opplysningsplikt. Hva betyr det?	Du må fortelle NAV om forhold som kan få betydning for støtten du får fra dem. Se eksempler under. Det er svært viktig at du gjør dette. Hvis ikke så kan du risikere at du må betale tilbake penger eller NAV kan i verste fall anmelde deg. \n\nEksempler på hva du må fortelle NAV om:\n\n - du begynner å tjene mer eller mindre enn du tidligere har oppgitt til NAV. Mottar du pensjon eller uføretrygd, kan også inntekten til ektefelle/samboer/partner ha betydning for din utbetaling. \n\n - det skjer endringer i sivilstatusen din, som inngåelse og opphør av ekteskap, partnerskap og samboerforhold, eller partner/ektefelle/samboer dør. \n\n - familiesituasjonen din endrer seg ved at du får barn, et barn flytter eller forsørgelse opphører.\n\n - du planlegger et opphold i eller flytting til utlandet\n\n \n\nVi anbefaler at du skriver et brev til NAV å forteller om ev. endrede forhold. \n	Kopi av spørsmål og svar - Copy.xlsx
Jeg trenger flere hjelpemidler etter kreftbehandling. Hvordan går jeg frem?	Du må ha en varig (over to år) og vesentlig redusert funksjonsevne for å kunne søke om hjelpemidler. Det finnes ingen fullstendig oversikt over alle hjelpemidler du kan søke om. Kanskje er det ikke ett hjelpemiddel du trenger, men en kombinasjon av flere? Kanskje er det tilstrekkelig å tilrettelegge det du allerede har eller bruker, eller få andre tips og råd for å løse ditt behov?\n\nDet finnes et stort utvalg av hjelpemidler og i Hjelpemiddeldatabasen finner du mange av dem. NAV dekker ikke alle produktene i Hjelpemiddeldatabasen; noe må du kanskje kjøpe selv eller få lånt på andre måter. Du finner skjema på NAVs sider. \n	Kopi av spørsmål og svar - Copy.xlsx
Jeg har arbeidsavklaringspenger, og lurer på hvor ofte jeg skal sende meldekort?	Arbeidsavklaringspenger utbetales på grunnlag av meldekortene du sender hver 14. dag. Meldekortene må fylles ut og sendes til rett tid, hvis ikke kan du miste utbetalingen for den aktuelle perioden. Du kan også søke om fritak for meldeplikten i perioder, hvis det foreligger bestemte forhold som gjør plikten unødig tyngende. \nDet er viktig å avklare med NAV hvordan du skal fylle ut meldekortene i tilfeller der du mottar andre ytelser/lønn i tillegg til arbeidsavklaringspenger, for eksempel sykepenger for deltidsstilling eller omsorgslønn.\nHvis du har spørsmål om meldeplikten, så kan du ta kontakt med NAV.\n	Kopi av spørsmål og svar - Copy.xlsx
Hvem kan få arbeidsavklaringspenger?	- Du må være mellom 18 og 67 år\n\n- Du må bo og oppholde seg i Norge (finnes særregler)\n\n- Du må ha 3 års forutgående medlemskap i folketrygden (finnes unntak)\n\n- Personer mellom 62 og 67 år må ha hatt en minsteinntekt\n\n- Arbeidsevnen må være nedsatt med minst 50% på grunn av sykdom eller skade	Kopi av spørsmål og svar - Copy.xlsx
Kan jeg få arbeidsavklaringspenger?	•Du må være mellom 18 og 67 år\n\n•Du må bo og oppholde seg i Norge (finnes særregler)\n\n•Du må ha 3 års forutgående medlemskap i folketrygden (finnes unntak)\n\n•Personer mellom 62 og 67 år må ha hatt en minsteinntekt\n\n•Arbeidsevnen må være nedsatt med minst 50% på grunn av sykdom eller skade	Kopi av spørsmål og svar - Copy.xlsx
Hvordan går jeg frem for å få arbeidsavklaringspenger	Du må søke om arbeidsavklaringspenger. Først må du registrere deg på nav.no. Du kan også få hjelp til å registrere deg på NAV-kontoret ditt. Når du søker arbeidsavklaringspenger må NAV ha en del informasjon fra deg som du må legge ved søknaden. Følg veiledningen som du får underveis.	Kopi av spørsmål og svar - Copy.xlsx
Kan jeg få arbeidsavklaringspenger?	Du må søke om arbeidsavklaringspenger. Først må du registrere deg på nav.no. Du kan også få hjelp til å registrere deg på NAV-kontoret ditt. Når du søker arbeidsavklaringspenger må NAV ha en del informasjon fra deg som du må legge ved søknaden. Følg veiledningen som du får underveis.	Kopi av spørsmål og svar - Copy.xlsx
Når kan jeg få arbeidsavklaringspenger?	Hvis du har sykepenger så må du vente med å søke til 8 uker før disse går ut. Hvis du har ikke har sykepenger så kan du søke med en gang. Du kan tidligst få utbetalt arbeidsavklaringspenger fra og med den dagen du søker.	Kopi av spørsmål og svar - Copy.xlsx
Når må jeg søke om arbeidsavklaringspenger?	Hvis du har sykepenger så må du vente med å søke til 8 uker før disse går ut. Hvis du har ikke har sykepenger så kan du søke med en gang. Du kan tidligst få utbetalt arbeidsavklaringspenger fra og med den dagen du søker.	Kopi av spørsmål og svar - Copy.xlsx
Hvor mye kan jeg få i arbeidsavklaringspenger?	Arbeidsavklaringspengene beregnes på grunnlag av tidligere inntekt, og utgjør 66% av «inntektstgrunnlaget». Men det er begrenset opptil 560184 kr. Videre tas det hensyn til om du forsørger barn og om du får andre ytelser fra folketrygden. Det finnes også fordelsregler hvis arbeidsevnen blir redusert pga. yrkesskade/sykdom, eller arbeidsevnen blir redusert før fylte 26 år. \nJeg anbefaler at du undersøker om du kan få utbetaling fra forsikring/pensjoner.\n	Kopi av spørsmål og svar - Copy.xlsx
Hvor mye får jeg utbetalt i arbeidsavklaringspenger?	Arbeidsavklaringspengene beregnes på grunnlag av tidligere inntekt, og utgjør 66% av «inntektstgrunnlaget». Men det er begrenset opptil 560184 kr. Videre tas det hensyn til om du forsørger barn og om du får andre ytelser fra folketrygden. Det finnes også fordelsregler hvis arbeidsevnen blir redusert pga. yrkesskade/sykdom, eller arbeidsevnen blir redusert før fylte 26 år. \nJeg anbefaler at du undersøker om du kan få utbetaling fra forsikring/pensjoner.\n	Kopi av spørsmål og svar - Copy.xlsx
Kan jeg leve av arbeidsavklaringspenger?	Arbeidsavklaringspengene beregnes på grunnlag av tidligere inntekt, og utgjør 66% av «inntektstgrunnlaget». Men det er begrenset opptil 560184 kr. Videre tas det hensyn til om du forsørger barn og om du får andre ytelser fra folketrygden. Det finnes også fordelsregler hvis arbeidsevnen blir redusert pga. yrkesskade/sykdom, eller arbeidsevnen blir edusert før fylte 26 år. \nJeg anbefaler at du undersøker om du kan få utbetaling fra forsikring/pensjoner.\n	Kopi av spørsmål og svar - Copy.xlsx
Jeg vil dra til utlandet med arbeidsavklaringspenger. Kan jeg det?	Du trenger godkjennelse fra NAV for å reise til utlandet så lenge du får arbeidsavklaringspenger. Ta kontakt med NAV og avklar dette i god tid før du skal reise.	Kopi av spørsmål og svar - Copy.xlsx
Kan jeg reise til utlandet når jeg får arbeidsavklaringspenger?	Du trenger godkjennelse fra NAV for å reise til utlandet så lenge du får arbeidsavklaringspenger. Ta kontakt med NAV og avklar dette i god tid før du skal reise.	Kopi av spørsmål og svar - Copy.xlsx
Hva er meldekort?	Arbeidsavklaringspenger utbetales på grunnlag av meldekortene du sender hver 14. dag. Meldekortene må fylles ut og sendes til rett tid, hvis ikke kan du miste utbetalingen for den aktuelle perioden. Du kan også søke om fritak for meldeplikten i perioder, hvis det foreligger bestemte forhold som gjør plikten unødig tyngende. \nMeldekort kan sendes elektronisk eller på papir.	Kopi av spørsmål og svar - Copy.xlsx
Hva hvis jeg ikke kan delta på den fastsatte aktiviteten?	Hvis du har avtalt med NAV å delta på tiltak, behandling, utdanning eller andre typer aktiviteter, skal du oppgi de dagene du har vært for syk til å utføre den avtalte aktiviteten.	Kopi av spørsmål og svar - Copy.xlsx
Kan jeg slippe å fylle ut meldekort?	NAV kan la deg slippe å fylle ut meldekort hvis det blir for tungt for deg. Ta kontakt med NAV for videre hjelp. Du må opplyse om hvorfor du ikke klarer å fylle ut meldekortene.	Kopi av spørsmål og svar - Copy.xlsx
Bør jeg endre skattetrekket når jeg går over til arbeidsavklaringspenger?	Du kan kontakte Skatteetaten eller benytte MinID, for en vurdering av skattetrekket ditt ved endring i inntekt.	Kopi av spørsmål og svar - Copy.xlsx
Hva hvis jeg har glemt å fylle ut meldekortene?	Da kan du miste utbetalingen for de siste 14. dagene. Hvis du har gode grunner til at du ikke har fylt ut så ta kontakt med NAV.	Kopi av spørsmål og svar - Copy.xlsx
Jeg får omsorgslønn. Hvordan skal jeg fylle ut meldekortene?	Det er viktig å avklare med NAV hvordan du skal fylle ut meldekortene i tilfeller der du mottar andre ytelser/lønn i tillegg til arbeidsavklaringspenger, for eksempel sykepenger for deltidsstilling eller omsorgslønn. Hvis du har spørsmål om meldeplikten, så kan du ta kontakt med NAV.	Kopi av spørsmål og svar - Copy.xlsx
